m_roll,m_pitch,m_yaw,f_roll,f_pitch,f_yaw
3.057,2.360,1.571,3.172,2.290,1.923
3.049,2.361,1.571,3.165,2.305,1.907
3.042,2.365,1.571,3.158,2.320,1.891
3.038,2.375,1.571,3.151,2.335,1.875
3.036,2.390,1.571,3.143,2.350,1.860
3.038,2.412,1.571,3.136,2.366,1.844
3.042,2.438,1.571,3.130,2.382,1.828
3.047,2.468,1.571,3.124,2.400,1.813
3.054,2.498,1.571,3.120,2.418,1.798
3.060,2.527,1.571,3.116,2.437,1.784
3.064,2.554,1.571,3.113,2.456,1.771
3.068,2.577,1.571,3.111,2.475,1.759
3.070,2.597,1.571,3.109,2.494,1.748
3.071,2.614,1.571,3.108,2.512,1.738
3.071,2.627,1.571,3.107,2.530,1.730
3.071,2.636,1.571,3.106,2.548,1.722
3.071,2.644,1.571,3.106,2.564,1.715
3.071,2.650,1.571,3.105,2.580,1.709
3.071,2.655,1.571,3.104,2.596,1.703
3.071,2.662,1.571,3.103,2.610,1.698
3.071,2.669,1.571,3.102,2.625,1.693
3.071,2.678,1.571,3.100,2.638,1.688
3.071,2.689,1.571,3.098,2.652,1.683
3.070,2.702,1.571,3.095,2.665,1.679
3.070,2.715,1.571,3.093,2.678,1.675
3.069,2.729,1.571,3.089,2.691,1.670
3.067,2.743,1.571,3.086,2.704,1.666
3.065,2.758,1.571,3.082,2.717,1.662
3.062,2.773,1.571,3.079,2.730,1.658
3.059,2.788,1.571,3.075,2.743,1.654
3.056,2.803,1.571,3.072,2.755,1.650
3.054,2.819,1.571,3.069,2.768,1.646
3.052,2.835,1.571,3.067,2.781,1.642
3.052,2.852,1.571,3.065,2.795,1.638
3.051,2.868,1.571,3.065,2.808,1.633
3.052,2.883,1.571,3.065,2.822,1.628
3.052,2.898,1.571,3.067,2.835,1.623
3.053,2.913,1.571,3.070,2.850,1.618
3.054,2.930,1.571,3.074,2.864,1.613
3.056,2.950,1.571,3.077,2.879,1.608
3.059,2.971,1.571,3.081,2.895,1.603
3.062,2.994,1.571,3.085,2.912,1.599
3.065,3.016,1.571,3.088,2.929,1.595
3.067,3.036,1.571,3.089,2.948,1.592
3.068,3.053,1.571,3.090,2.966,1.590
3.069,3.068,1.571,3.090,2.986,1.588
3.070,3.082,1.571,3.089,3.005,1.587
3.073,3.096,1.571,3.087,3.025,1.586
3.077,3.111,1.571,3.085,3.046,1.586
3.083,3.127,1.571,3.083,3.067,1.585
3.090,3.145,1.571,3.081,3.088,1.585
3.098,3.165,1.571,3.081,3.110,1.584
3.105,3.188,1.571,3.081,3.131,1.583
3.113,3.213,1.571,3.082,3.154,1.582
3.120,3.241,1.571,3.084,3.176,1.581
3.125,3.270,1.571,3.087,3.200,1.579
3.129,3.301,1.571,3.091,3.224,1.576
3.131,3.334,1.571,3.096,3.249,1.573
3.130,3.368,1.571,3.100,3.274,1.570
3.128,3.403,1.571,3.105,3.301,1.566
3.124,3.438,1.571,3.110,3.330,1.561
3.121,3.471,1.571,3.115,3.360,1.556
3.119,3.502,1.571,3.119,3.391,1.550
3.119,3.531,1.571,3.123,3.425,1.544
3.119,3.558,1.571,3.126,3.459,1.538
3.120,3.585,1.571,3.128,3.495,1.532
3.119,3.611,1.571,3.130,3.533,1.525
3.117,3.638,1.571,3.131,3.571,1.519
3.113,3.667,1.571,3.132,3.610,1.513
3.109,3.696,1.571,3.131,3.650,1.508
3.105,3.729,1.571,3.130,3.690,1.503
3.102,3.764,1.571,3.128,3.730,1.498
3.099,3.805,1.571,3.126,3.770,1.495
3.095,3.849,1.571,3.124,3.811,1.493
3.088,3.897,1.571,3.122,3.851,1.491
3.080,3.946,1.571,3.120,3.892,1.492
3.070,3.996,1.571,3.119,3.933,1.493
3.061,4.047,1.571,3.118,3.974,1.495
3.055,4.097,1.571,3.117,4.015,1.499
3.050,4.148,1.571,3.116,4.056,1.503
3.049,4.197,1.571,3.117,4.097,1.509
3.051,4.244,1.571,3.118,4.138,1.515
3.055,4.290,1.571,3.120,4.179,1.523
3.065,4.335,1.571,3.123,4.219,1.531
3.083,4.380,1.571,3.129,4.260,1.541
3.114,4.426,1.571,3.137,4.301,1.551
3.163,4.475,1.571,3.149,4.342,1.563
3.239,4.523,1.571,3.168,4.383,1.578
3.358,4.572,1.571,3.196,4.424,1.594
3.573,4.620,1.571,3.239,4.466,1.614
4.019,4.668,1.571,3.308,4.506,1.636
4.764,4.716,1.571,3.420,4.544,1.666
5.303,4.763,1.571,3.585,4.579,1.731
5.554,4.809,1.571,3.817,4.614,1.857
5.686,4.851,1.571,4.115,4.648,2.048
5.772,4.888,1.571,4.445,4.683,2.273
5.839,4.919,1.571,4.751,4.717,2.474
5.898,4.946,1.571,4.998,4.752,2.617
5.950,4.970,1.571,5.185,4.788,2.702
5.997,4.992,1.571,5.327,4.825,2.744
6.037,5.014,1.571,5.437,4.861,2.756
6.071,5.039,1.571,5.525,4.899,2.748
